IUPAC names,SMILES,InChI,InChIKeys,Mr Molecular mass,Number of N,Solvent,DOI
1-propylpiperidin-4-amine,N1(CCC)CCC([NH2])CC1,"InChI=1S/C8H18N2/c1-2-5-10-6-3-8(9)4-7-10/h8H,2-7,9H2,1H3",ZCYVGFQRDRGDJM-UHFFFAOYSA-N,142.1469986,2,5b,https://doi.org/10.1021/acs.energyfuels.6b00875
2-(4-aminopiperidin-1-yl)ethanol,N1(CCO)CCC([NH2])CC1,"InChI=1S/C7H16N2O/c8-7-1-3-9(4-2-7)5-6-10/h7,10H,1-6,8H2",NMWIFNPFFNFXPB-UHFFFAOYSA-N,144.1262631,2,5c,https://doi.org/10.1021/acs.energyfuels.6b00875
3-(4-aminopiperidin-1-yl)propan-1-ol,N1(CCCO)CCC([NH2])CC1,"InChI=1S/C8H18N2O/c9-8-2-5-10(6-3-8)4-1-7-11/h8,11H,1-7,9H2",IXLYVDGIYOYCMO-UHFFFAOYSA-N,158.1419132,2,5d,https://doi.org/10.1021/acs.energyfuels.6b00875
6-(4-aminopiperidin-1-yl)hexan-1-ol,N1(CCCCCCO)CCC([NH2])CC1,"InChI=1S/C11H24N2O/c12-11-5-8-13(9-6-11)7-3-1-2-4-10-14/h11,14H,1-10,12H2",MTWYGODGCZPZAU-UHFFFAOYSA-N,200.1888634,2,5e,https://doi.org/10.1021/acs.energyfuels.6b00875
2-(4-aminopiperidin-1-yl)acetic acid,N1(CC(=O)[OH])CCC([NH2])CC1,"InChI=1S/C7H14N2O2/c8-6-1-3-9(4-2-6)5-7(10)11/h6H,1-5,8H2,(H,10,11)",FCQHYITXTSIWDB-UHFFFAOYSA-N,158.1055277,2,5f,https://doi.org/10.1021/acs.energyfuels.6b00875
,N1(C=Cc2c[nH]cn2)CCC([NH2])CC1,"InChI=1S/C10H16N4/c11-9-1-4-14(5-2-9)6-3-10-7-12-8-13-10/h3,6-9H,1-2,4-5,11H2,(H,12,13)",VMYKWGPTOQPLBD-UHFFFAOYSA-N,192.1374965,4,5i,https://doi.org/10.1021/acs.energyfuels.6b00875
N-(piperidin-4-ylmethyl)ethanamine,[NH]1CCC(C[NH1](CC))CC1,"InChI=1S/C8H18N2/c1-2-9-7-8-3-5-10-6-4-8/h8-10H,2-7H2,1H3",RJASJOJQSLXLNG-UHFFFAOYSA-N,142.1469986,2,6a,https://doi.org/10.1021/acs.energyfuels.6b00875
2-(piperidin-4-ylmethylamino)ethanol,[NH]1CCC(C[NH1](CCO))CC1,"InChI=1S/C8H18N2O/c11-6-5-10-7-8-1-3-9-4-2-8/h8-11H,1-7H2",DLPFXKOSZCJYIX-UHFFFAOYSA-N,158.1419132,2,6c,https://doi.org/10.1021/acs.energyfuels.6b00875
6-(piperidin-4-ylmethylamino)hexan-1-ol,[NH]1CCC(C[NH1](CCCCCCO))CC1,"InChI=1S/C12H26N2O/c15-10-4-2-1-3-7-14-11-12-5-8-13-9-6-12/h12-15H,1-11H2",GFYPINHGCMIHBS-UHFFFAOYSA-N,214.2045135,2,6e,https://doi.org/10.1021/acs.energyfuels.6b00875
2-(piperidin-4-ylmethylamino)acetic acid,[NH]1CCC(C[NH1](CC(=O)[OH]))CC1,"InChI=1S/C8H16N2O2/c11-8(12)6-10-5-7-1-3-9-4-2-7/h7,9-10H,1-6H2,(H,11,12)",JWGGNKLSISJJES-UHFFFAOYSA-N,172.1211778,2,6f,https://doi.org/10.1021/acs.energyfuels.6b00875
2-morpholin-4-yl-N-(piperidin-4-ylmethyl)ethanamine,[NH]1CCC(C[NH1](CCN2CCOCC2))CC1,"InChI=1S/C12H25N3O/c1-3-13-4-2-12(1)11-14-5-6-15-7-9-16-10-8-15/h12-14H,1-11H2",DPYMAZVIVUWAHA-UHFFFAOYSA-N,227.1997624,3,6g,https://doi.org/10.1021/acs.energyfuels.6b00875
"N',N'-dimethyl-N-(piperidin-4-ylmethyl)ethane-1,2-diamine",[NH]1CCC(C[NH1](CCN(C)C))CC1,"InChI=1S/C10H23N3/c1-13(2)8-7-12-9-10-3-5-11-6-4-10/h10-12H,3-9H2,1-2H3",UMIRWFHJARHZHR-UHFFFAOYSA-N,185.1891977,3,6h,https://doi.org/10.1021/acs.energyfuels.6b00875
N-methyl-N-(piperidin-4-ylmethyl)ethanamine,[NH]1CCC(CN(CC)C)CC1,"InChI=1S/C9H20N2/c1-3-11(2)8-9-4-6-10-7-5-9/h9-10H,3-8H2,1-2H3",IKPGXZXKSMHPCC-UHFFFAOYSA-N,156.1626486,2,7a,https://doi.org/10.1021/acs.energyfuels.6b00875
2-[methyl(piperidin-4-ylmethyl)amino]ethanol,[NH]1CCC(CN(CCO)C)CC1,"InChI=1S/C9H20N2O/c1-11(6-7-12)8-9-2-4-10-5-3-9/h9-10,12H,2-8H2,1H3",IHECSHWMMLXIJE-UHFFFAOYSA-N,172.1575633,2,7c,https://doi.org/10.1021/acs.energyfuels.6b00875
2-[methyl(piperidin-4-ylmethyl)amino]acetic acid,[NH]1CCC(CN(CC(=O)[OH])C)CC1,"InChI=1S/C9H18N2O2/c1-11(7-9(12)13)6-8-2-4-10-5-3-8/h8,10H,2-7H2,1H3,(H,12,13)",HJPMTMIHCWBJAY-UHFFFAOYSA-N,186.1368278,2,7f,https://doi.org/10.1021/acs.energyfuels.6b00875
"N,N,N'-trimethyl-N'-(piperidin-4-ylmethyl)ethane-1,2-diamine",[NH]1CCC(CN(CCN(C)C)C)CC1,"InChI=1S/C11H25N3/c1-13(2)8-9-14(3)10-11-4-6-12-7-5-11/h11-12H,4-10H2,1-3H3",PVBRFNLBZOUOJU-UHFFFAOYSA-N,199.2048478,3,7h,https://doi.org/10.1021/acs.energyfuels.6b00875
2-(propan-2-ylamino)ethanol,CC(C)NCCO,"InChI=1S/C5H13NO/c1-5(2)6-3-4-7/h5-7H,3-4H2,1-2H3",RILLZYSZSDGYGV-UHFFFAOYSA-N,103.16,1,IPAE,http://dx.doi.org/10.1016/j.ijggc.2016.12.019
2-(propylamino)ethanol,CCCNCCO,"InChI=1S/C5H13NO/c1-2-3-6-4-5-7/h6-7H,2-5H2,1H3",BCLSJHWBDUYDTR-UHFFFAOYSA-N,103.16,1,PAE,http://dx.doi.org/10.1016/j.ijggc.2016.12.019
"2,2,6,6-tetramethylpiperidin-4-ol",CC1(CC(CC(N1)(C)C)O)C,"InChI=1S/C9H19NO/c1-8(2)5-7(11)6-9(3,4)10-8/h7,10-11H,5-6H2,1-4H3",VDVUCLWJZJHFAV-UHFFFAOYSA-N,157.25,1,TMP-OL,http://dx.doi.org/10.1016/j.ijggc.2016.12.019
piperidine-2-carboxylic acid,C1CCNC(C1)C(=O)O,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)",HXEACLLIILLPRG-UHFFFAOYSA-N,129.16,1,KPIP,http://dx.doi.org/10.1016/j.ijggc.2016.12.019
6-(dimethylamino)hexan-1-ol,CN(C)CCCCCCO,"InChI=1S/C8H19NO/c1-9(2)7-5-3-4-6-8-10/h10H,3-8H2,1-2H3",QCXNXRUTKSIZND-UHFFFAOYSA-N,145.24,1,DMAH,http://dx.doi.org/10.1016/j.ijggc.2016.12.019
"N,N,N',N'-tetramethylbutane-1,4-diamine",CN(C)CCCCN(C)C,"InChI=1S/C8H20N2/c1-9(2)7-5-6-8-10(3)4/h5-8H2,1-4H3",VEAZEPMQWHPHAG-UHFFFAOYSA-N,144.26,2,"TM-1,4-DAB",http://dx.doi.org/10.1016/j.ijggc.2016.12.019
